"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","22pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","33pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C5","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","LED_Filled","","","","LED_SMD:LED_0805_2012Metric","~"
"H1,H2","2","Conn_01x06","","","","Connector_JST:JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal","~"
"J1","1","Raspberry_Pi_2_3","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf"
"J2","1","Screw_Terminal_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","1","Conn_D42V55F5","","","","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","~"
"L_RXA1,L_RXB1,L_TXA1,L_TXB1","4","LED_Filled","","","","Resistor_SMD:R_0805_2012Metric","~"
"R1,R3,R4,R5,R8,R9,R10,R24","8","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11,R12,R13","3","0R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14,R15,R16,R17,R18,R19,R20,R21,R22,R23","10","NC","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","SC16IS-752","","","","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","https://www.nxp.com/docs/en/data-sheet/SC16IS752_SC16IS762.pdf"
"U2","1","AMS1117","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"Y1","1","14.7456M","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
